1	34	61
2	94	40
3	306	173
4	621	306
5	1131	471
6	1687	611
7	2221	731
8	2713	1164
9	3653	1769
10	4780	1918
11	5308	1956
12	5748	2070
13	6352	2242
14	7025	2383
15	7654	2527
16	8292	2649
17	9043	2827
18	9903	2958
19	10751	3139
20	11642	3274
21	12431	3428
22	13251	3560
23	13983	3723
24	14776	3870
25	15533	4015
26	16323	4149
27	17078	4307
28	17864	4459
29	18664	4590
30	19492	4742
31	20101	4868
32	20997	5059
33	21877	5183
34	22833	5350
35	23786	5471
36	24644	5674
37	48127	20463
38	60857	8660
39	34938	6527
40	30723	6875
41	33172	7511
